source,target,annotator,id,Cohesion_value,Informativeness_value,source_file,total_score
"Because of the Chettri sisters, women guides are normal, said Shailee Basnet. Basnet led a Nepali women's team up Everest. At first, few women wanted to become guides. They didn't want to leave their homes for many days. ""Some thought it was against our culture,"" said Nicky, the youngest sister.",The Chettri sisters have been a part of the Nepali women's team up Everest for many years.,Annotator1,3-25,incohesive,,Batch3_Annotations.csv,
Scientists found that bacteria moved slowly from floors to food. But it depends what kind of floor it is. Bacteria were more likely to move from tile floors to food. Bacteria were less likely to move from carpets to food. Other scientists also tested food from the floor.,"The bacteria moved slowly from floors to food, depending on the type of floor.",Annotator1,3-26,incohesive,,Batch3_Annotations.csv,
"But the Birmingham, Ala., student dreamed of going to a college anyhow. He loved to think of new ideas that would help businesses. He also hoped to start his own business. College would help him learn to do those things better. He wanted to go to school somewhere near New York City.","The student in Birmingham, Ala., was determined to pursue a career in business.",Annotator1,3-27,cohesive,Level_2,Batch3_Annotations.csv,
He was talking about the spying programs. People started looking at two NSA programs after Edward Snowden told reporters about what the agency was doing. He used to do work for the NSA. The programs had been secret. A secret court said collecting cellphone records was allowed.,He was talking about the two NSA programs that had been secretly uncovered by Edward Snowden.,Annotator1,3-28,cohesive,Level_2,Batch3_Annotations.csv,
"They are there,"" said former high school principal Beverly Hutton. A new government study supports her claim. It found that black students were more than three times as likely as whites to be kicked out or suspended. And what about cases where the police were called? More than half the time the students were black or Hispanic.","The students are there, and the government study supports her claim.",Annotator1,3-29,incohesive,,Batch3_Annotations.csv,
"Among them, 59 had a brother or sister with autism. That group was at high risk of being autistic themselves. And 51 babies who had no close relatives with autism were in the other group. They were thought to have a lower risk of having autism. That group was used as a control.",The children with autism were at a higher risk of being autistic than the children without.,Annotator1,3-30,incohesive,,Batch3_Annotations.csv,
"Hotel reservations have been made. But there is one problem: gold. In India, gold is worn at weddings. But it is far more than just a nice thing to wear. It shows a person's importance.","In India, gold is worn at weddings to show a person's importance.",Annotator1,3-31,incohesive,,Batch3_Annotations.csv,
" Gay people can serve on federal juries. A court in San Francisco became the first in the country to decide this Tuesday. Until now, gay people could be kept off some juries just because they were gay. A gay person is attracted to a person of his or her own sex. The decision by the three judges on the court was unanimous.",The court in San Francisco decided that gay people can serve on federal jury trials.,Annotator1,3-32,incohesive,,Batch3_Annotations.csv,
The reason why is complicated. They said its genes were too much like the genes of other giraffes. All plants and animals have genes. They play a big part in what animals and plants look and act like. Genes are passed down from parents.,"The reason why it is complicated is because it has too many genes, which are passed down from parents.",Annotator1,3-33,incohesive,,Batch3_Annotations.csv,
"They would also be endangered by government prohibition. The slippery slope of a possible ban doesn't stop at the state level. The Fantasy Sports Trade Association was recently warned that popular sports fantasy leagues could be banned by this legislation as well. Fantasy sports teams are created by choosing your favorite players from a sport like baseball and creating a made-up ""team."" Fantasy football is very popular.",Fantasy sports teams are popular with millions of people.,Annotator1,3-34,cohesive,Level_2,Batch3_Annotations.csv,
"New Haven used to have factories where people worked. They did not need special skills or a college education to work there. Those factories are gone now. New companies have come that need skilled workers with more education. New Haven youth want those jobs, but they do not have the education or the skills.",The new companies that need skilled workers with more education are seeking to hire more skilled workers.,Annotator1,3-35,incohesive,,Batch3_Annotations.csv,
"It rocked with the sound of the college band. And the school's Viking mascot high-fived his way across the room. These fifth-graders are at an important turning point. How they see see themselves "" as smart or stupid "" may decide if they go to college. Western University wants to convince them that college is in their future.",The fifth-graders are at an important turning point in their decision to go to college.,Annotator1,3-36,cohesive,Level_1,Batch3_Annotations.csv,
"For example, they show how much sugar has been added. And they are based on new, mostly larger serving sizes. These reflect how people really eat. The changes are meant to help in the fight against some serious health problems. Among these are obesity.",The changes to the diet are designed to help fight obesity.,Annotator1,3-37,incohesive,,Batch3_Annotations.csv,
"However, people often drink 12-ounce cans or even larger bottles. The new serving size for soda will have to be at least 12 ounces. There will be an increase for some other products, such as ice cream. ""The serving sizes for many foods are a joke now,"" said Jacobson. Look at ""the half-cup of ice cream"" or ""2-ounce muffins and bagels.""","The new serving size for soda will be at least 12 ounces, while the other products such as ice cream will be increased.",Annotator1,3-38,incohesive,,Batch3_Annotations.csv,
"There will be an increase for some other products, such as ice cream. ""The serving sizes for many foods are a joke now,"" said Jacobson. Look at ""the half-cup of ice cream"" or ""2-ounce muffins and bagels."" Few people eat that little at one time. Some packaged foods and drinks are usually finished all at once.","The serving sizes for many foods are a joke now, as many people eat that little at one time.",Annotator1,3-39,incohesive,,Batch3_Annotations.csv,
"The tornado destroyed two elementary schools, both with students inside. Rescue crews swarmed into the ruins at Plaza Towers Elementary School. There were 75 students and staff in the building when the storm struck. Helicopters were banned from flying over the school, CNN reported. Rescuers feared engine noise would make it hard to hear cries for help.","The tornado destroyed two elementary schools, both with students inside.",Annotator1,3-40,incohesive,,Batch3_Annotations.csv,
"Looking like another species works just fine for them. While they avoid getting eaten, the male and the masculine-colored female are still at risk. For a long time, biologists have studied how animals try to look like other animals. It teaches them a lot about natural selection. Natural selection is sometimes called ""survival of the fittest.""",The male and the female are at risk of getting eaten by the animals.,Annotator1,3-41,incohesive,,Batch3_Annotations.csv,
"It also spreads over two continents. One half of Istanbul lies in Europe, while the other half sits in Asia. The city is connected by bridges across one of the busiest waterways on the planet, the Bosporus Strait. Istanbul is an important city for trade. Turkey is also one of the United States' closest friends in the region.",Istanbul is an important city for trade and is one of the United States' closest friends in the region.,Annotator1,3-42,incohesive,,Batch3_Annotations.csv,
"To reward his children, his father would bring books home. Usually, they were used books that cost just 5 cents. Billington is 85 years old. Even so, he does not plan to stop working anytime soon. He hopes to keep making it easier for people to use the library's huge collection.",Billington's father would bring books home to reward his children.,Annotator1,3-43,incohesive,,Batch3_Annotations.csv,
"It should be able to locate the plane's black box in waters up to 20,000 feet deep. A black box record pilots' conversations. It also records information about the flight such as how fast it was flying. The search team is in a race against time. The black box's battery will last only 30 to 45 days.",The search team is in a race against time to locate the plane's black box.,Annotator1,3-44,incohesive,,Batch3_Annotations.csv,
" A panther in a cage was put on the ground in the middle of the forest. Reporters and photographers watched. The big cat crept out of the cage. He looked around, and then ran off down a dirt road. The panther disappeared into the forest.",The panther crept out of the cage and ran off down a dirt road.,Annotator1,3-45,incohesive,,Batch3_Annotations.csv,
They were 13 and 17 at the time. The Giron brothers left Honduras in February 2013. They traveled in a car with a guide and five other teens ages 13 to 16. It took the group 11 days to travel from Honduras to the United States. They traveled all the way north through Mexico until they reached the Rio Grande River.,The Giron brothers were 13 and 17 when they left Honduras in February 2013.,Annotator1,3-46,incohesive,,Batch3_Annotations.csv,
"And this country has a lot of feral cats: about 50 million. Some people, though, say TNR is mean. Life on the streets is hard for cats, they say. Homeless cats are often killed by animals or cruel humans. The cats shouldn't be put back on the streets, they say.","The country has a lot of feral cats, but some people believe that TNR is mean and that cats should not be put back on the streets.",Annotator1,3-47,incohesive,,Batch3_Annotations.csv,
"That the killings happened around these celebrations makes it ""all the more painful,"" Obama said. Police have arrested Frazier Glenn Miller, 73. He's believed to be the shooter. Civil rights groups say Miller has ties to the Ku Klux Klan. The Klan is a hate group.","The shootings occurred around the celebrations, making it ""all the more painful"" for Obama.",Annotator1,3-48,incohesive,,Batch3_Annotations.csv,
"Deflategate has gotten a lot of attention. Some people are talking about it even more than they are talking about Sunday's Super Bowl game. Belichick complained that trying to explain what happened has taken up a lot of time. Instead of preparing for the Super Bowl, he has had to answer questions about the deflated footballs. The NFL is looking into the matter.",The NFL is investigating the issue of deflated footballs.,Annotator1,3-49,incohesive,,Batch3_Annotations.csv,
"Dogs worked closely with humans over thousands of years. They were trained to obey. Over time, they became very good at ""reading"" what humans are thinking and feeling. They pick up signals from our voices, and from the way we move our bodies, hands, and eyes. Cats, on the other hand, pretty much developed on their own.","Dogs and cats have evolved over thousands of years, both recognizing and recognizing the human voice and the way we move our bodies, hands, and eyes.",Annotator1,3-50,incohesive,,Batch3_Annotations.csv,
"She said she would give a written report later, according to the Associated Press. Military lawyers said that Manning is a ""traitor"" for sending the secret papers to WikiLeaks. The Web site tries to stop governments and others from keeping secrets. Some of the information wound up in the hands of terrorists, the military said. Manning worked in intelligence in Iraq in 2009 and 2010.",Manning said she would give a written report later.,Annotator1,3-51,incohesive,,Batch3_Annotations.csv,
"Capitol was the fifth-largest, but it moved up to second place after Barnett took over. Barnett made big changes at Capitol Records. He picked different artists. He signed two of the biggest acts of last year, Sam Smith and 5 Seconds of Summer. Record companies have to sign contracts with musicians and artists to record their albums.","Barnett made a major change to Capitol Records, bringing in two of the biggest acts of last year, Sam Smith and 5 Seconds of Summer.",Annotator1,3-52,incohesive,,Batch3_Annotations.csv,
"Canceling the meeting, called a summit, could make it worse. They don't agree about the civil war in Syria. Russia also decided to stop U.S. citizens from adopting Russian children. The United States is upset with Russia because of possible human rights violations. Obama also has criticized a new law in Russia that is called unfair to gays and lesbians.",The United States is upset with Russia for its discriminatory laws and has criticized a new law in Russia that is unfair to gays and lesbians.,Annotator1,3-53,incohesive,,Batch3_Annotations.csv,
"They say farming makes global warming even worse. They believe people should eat food that comes from plants. The scientists, though, say these new animals will feed the world. The government is spending millions of dollars on their studies. In about 35 years, there may be as many as 9 billion people on Earth.",The government is spending millions of dollars on their studies to determine the effects of global warming on the environment.,Annotator1,3-54,incohesive,,Batch3_Annotations.csv,
"When she was 11, she snuck into the United States. She knew that at anytime she could be sent back to Honduras. Now, she doesn't have to look over her shoulder all the time. The government is letting some people who came here illegally before age 16 stay, at least for the time being. Navarro still cannot start the process to become a citizen.","Navarro has been able to stay in Honduras for the past few years, but she still has to look over her shoulder for any potential legal obstacles.",Annotator1,3-55,incohesive,,Batch3_Annotations.csv,
"To do nothing would mean the world is going back on its word, he explained. ""What are you going to do about it?"" Obama asked about the innocent people who were poisoned. But not many countries support Obama's plan to fire missiles at Syria. At least not yet.",The world is going back on its word.,Annotator1,3-56,incohesive,,Batch3_Annotations.csv,
"Then there was another shooting at a school in Newtown, Conn. Twenty-six people were killed. The new Colorado laws said that guns should only hold 15 bullets at once. People who want to buy guns would also have to have a background check. Some gun owners and their supporters said that their opinions were ignored when the laws were made. Morse said he would continue to fight for gun control.","The new Colorado laws made it difficult for gun owners to buy guns, and some gun owners and supporters were ignoring their opinions when the laws were made.",Annotator1,3-57,incohesive,,Batch3_Annotations.csv,
"I think this is definitely a risk, he said. The agreement is a remarkable event in Syria's civil war. More than 100,000 people from both sides have been killed during the war. A total of 6.5 million people have been forced from their homes in the past 30 months. There also seemed to be no way the United States and Russia could agree about how the conflict should be resolved.","The agreement is a risk, as more than 100,000 people have been killed during the war, 6.5 million people have been forced from their homes in the past 30 months, and the United States and Russia have not agreed on how to resolve the conflict.",Annotator1,3-58,incohesive,,Batch3_Annotations.csv,
"This one didn't. ""It wouldn't fluke up,"" said Nancy Black, an ocean scientist. She was on board the Point Sur that day. Black was speaking of the tail flip that humpbacks perform before diving to feed. She also noticed several buoys were trailing behind it.","The humpbacks were unable to fluke up, as they were unable to find any buoys that were trailing behind them.",Annotator1,3-59,incohesive,,Batch3_Annotations.csv,
Kyle and Scott want to help their friend get back to California. They also want to stay in touch with Rodrigo. They thought that a video game called Minecraft would help them do that. Rodrigo and his classmates used to play Minecraft at each other's houses. Players have to work together to build things.,Kyle and Scott are excited to help their friend get back to California and stay in touch with Rodrigo.,Annotator1,3-60,incohesive,,Batch3_Annotations.csv,
"Some played dead. At least 68 people were killed and 175 wounded Saturday at the mall shooting. It was Kenya's worst terror attack in 15 years, said President Uhuru Kenyatta. A group from Somalia took responsibility for the attack. It is called the Shabab.","The mall shooting was Kenya's worst terror attack in 15 years, with a group from Somalia taking responsibility for the attack.",Annotator1,3-61,incohesive,,Batch3_Annotations.csv,
"But he does not want to upset people at home. He said the United States and Iran can ""turn threats into opportunities."" But he also has condemned U.S. ""military interference."" He insisted that Iran's nuclear program is something it will not surrender. Analysts say Obama must be careful not to look too eager to make a deal.",Obama is not looking to upset people at home.,Annotator1,3-62,incohesive,,Batch3_Annotations.csv,
"Some drone uses are against the law. They can't get in the way of airplanes. Also, people can't use them to spy on their neighbors. But drones mainly take pictures of nature. And they record historic moments, like the celebration of the Kings' hockey victory.","The use of drones is against the law, but they can capture and record historic moments, such as the Kings' hockey victory.",Annotator1,3-63,incohesive,,Batch3_Annotations.csv,
"Better slip the doctor some money. ""I'm absolutely disgusted by it, but this is how our system works,"" said Luo, a math teacher. Luo is fighting hard to change things. The Chinese government has also started speaking out against overly expensive gifts. Such gifts are often really bribes.",The Chinese government has been speaking out against overly expensive gifts.,Annotator1,3-64,incohesive,,Batch3_Annotations.csv,
"Or a $3 million villa on the French Riviera. That's what former government official Bo Xilai got. Bo was recently sentenced to life in prison for accepting bribes. China's population is enormous. Battles for education, health care, jobs and promotions can be tough.",Bo Xilai was sentenced to life in prison for accepting bribes.,Annotator1,3-65,incohesive,,Batch3_Annotations.csv,
"The two researchers decided to compare his brain with the brains of both old and young men. Einstein's corpus callosum was much thicker than those of 15 men his age. Compared to 52 young men, it was thicker in five important spots. So Einstein's large corpus callosum may explain his genius. It may have helped the two sides of his brain communicate faster than usual.",The researchers examined Einstein's corpus callosum to determine its size and shape.,Annotator1,3-66,incohesive,,Batch3_Annotations.csv,
"Experts are now deciding whether or not to change the advice given swimmers. Some feel people should still be told to swim parallel to shore. Others feel they should be told to float and wait. The ""float and wait"" approach does have its dangers. In a handful of cases, swimmers would be forced into deeper water.",Experts are deciding whether to change the advice given swimmers.,Annotator1,3-67,incohesive,,Batch3_Annotations.csv,
"It might not be for more than a year. Even without that information, the government is coming up with ideas to help protect the animals. These include planting new trees. There may also be some logging. The idea is to save certain species from being wiped out.","The government is introducing new ideas to protect the animals, such as planting new trees and logging.",Annotator1,3-68,incohesive,,Batch3_Annotations.csv,
"Hitler's Germany killed between 250,000 and 500,000 Roma. But the hate hardly ended after World War II. Romani Rose is head of a Roma group in Germany. He said hate toward Roma people remains widespread there. His people still suffer unfair and insulting treatment, he said.","The hate against Roma people continues to spread in Germany, with the head of a Roma group in Germany saying that the discrimination against them continues to be widespread.",Annotator1,3-69,incohesive,,Batch3_Annotations.csv,
"Philadelphia is the poorest of the 10 biggest U.S. cities. It also has a high amount of smoking for a big city, according to a health department report. In Philadelphia, smoking is more common among the poor than people who aren't poor, said Giridhar Mallya. He works for the Philadelphia Department of Public Health. Being poor can be very hard on a person's mind.","The poorest city in the United States is Philadelphia, with a high amount of smoking.",Annotator1,3-70,incohesive,,Batch3_Annotations.csv,
People can even see them from above. SeaWorld will also study orcas in the ocean. It will have a team of scientists. The scientists will watch over SeaWorld's orcas. They will see if the orcas are happy.,SeaWorld is a popular tourist destination that is attracting a lot of attention.,Annotator1,3-71,cohesive,Level_2,Batch3_Annotations.csv,
"DAVIE, Fla. – Richie Incognito and Jonathan Martin played on the offensive line for the Miami Dolphins. They were teammates. But that did not mean the football players got along. People who know Martin say that Incognito bullied the younger player. Dolphins coach Joe Philbin suspended Incognito from the team.","Richie Incognito and Jonathan Martin were teammates, but they were not able to get along.",Annotator1,3-72,cohesive,Level_2,Batch3_Annotations.csv,
"The U.S. is handling the situation with immigrant children today just like it did for the kids at Vincennes. It's just happening in a much larger way. U.S. law protects people who have been mistreated, but it is not perfect. President Obama is trying to protect these children as best he can. People afraid of being hurt can ask for protection in the U.S.",The U.S. is treating immigrant children differently than the way it handled the children at Vincennes.,Annotator1,3-73,incohesive,,Batch3_Annotations.csv,
"Since the Aug. 9 shooting death of Michael Brown, the nation and the world have seen the angry protests in Ferguson, Missouri. People protesting want answers about how this young man died. They question the fairness of our police. I'm the top law enforcement officer and lawyer for the government. I run the Justice Department.","The protests in Ferguson, Missouri have been a source of anger and frustration for the people of the nation and the world.",Annotator1,3-74,incohesive,,Batch3_Annotations.csv,
"It wants it done within the next 12 months. The metal suit the Army wants would certainly be awe-inspiring. Bullets would bounce off it harmlessly. It would be able to download live video. These would come from remote-controlled airplanes, or drones, flying overhead.",The Army wants to get the metal suit done within the next 12 months.,Annotator1,3-75,incohesive,,Batch3_Annotations.csv,
"The best hope now, Theison said, is using semen from wild elephants in Africa. Once collected, it can be sent to zoos all over the world. Theison said he hopes to pair a 14-year-old female with a possible mate this year. At his zoo, elephants roam over a huge amount of land. Few visitors bother them.",Theison hopes to pair a 14-year-old female with a potential mate this year at his zoo.,Annotator1,3-76,incohesive,,Batch3_Annotations.csv,
"Portsmouth helped turn the small island of Britain into a naval power. England once ruled an empire all over the world because of its navy. Portsmouth has been important to English rulers since the 13th century. In 1511, shipbuilders there launched Henry VIII's ship Mary Rose. The ship was one of the first war vessels able to fire a broadside.",Portsmouth helped turn Britain into a naval power.,Annotator1,3-77,incohesive,,Batch3_Annotations.csv,
Now the city's new school week is mixed up. No two days in a row end at the same time. And moms and dads feel cheated. Many have arranged their workweeks to spend Wednesdays with their kids. Some children do attend church school.,"The city's new school week is a mix-up, with no two days in a row ending at the same time.",Annotator1,3-78,incohesive,,Batch3_Annotations.csv,
"To do this, they look at the DNA of living species, or types, of big cat. The DNA studies show various things. Big cats split off from other cats about 11 million years ago. Then about 6 million years ago another big change occurred. Big cats split into several different species.",The DNA studies show that the cats split off from other cats about 11 million years ago and that the cats split into several different species.,Annotator1,3-79,incohesive,,Batch3_Annotations.csv,
"Then about 6 million years ago another big change occurred. Big cats split into several different species. They became lions, tigers, jaguars and leopards. But there's a problem: What scientists find by looking at big cat DNA doesn't agree with what the fossils tell them. Scientists are hoping to figure out where big cats first appeared.",The discovery of big cats in 6 million years ago is a major milestone in the evolution of the species.,Annotator1,3-80,cohesive,Level_1,Batch3_Annotations.csv,
"He works at New York's American Museum of Natural History. The newly found cat is probably part of a separate branch of the cat family, said Tseng. The modern snow leopard is most likely part of the same branch. Both are able to live high in the Tibetan mountains. Big cats present serious problems for paleontologists.","The new cat is likely part of a different branch of the cat family, Tseng said.",Annotator1,3-81,incohesive,,Batch3_Annotations.csv,
"It was his first real experience with the wilderness. Twenty-six students from different backgrounds took part in the program. The program is based at the University of Washington. Its goal is to get people of different races and family backgrounds to work in conservation. Okwu, for instance, is black.",Okwu was astonished by the experience.,Annotator1,3-82,cohesive,Level_2,Batch3_Annotations.csv,
"This is why the doctors at the American Academy of Pediatrics are now saying that school should start later. Imagine a school that starts at 8 a.m. every morning. If it started at 9 a.m. instead, students could get an extra hour of sleep each night. This could help students feel rested. It may have other benefits as well.",The doctors at the American Academy of Pediatrics are now suggesting that school should start at 8 a.m. instead of 9 a.m. to help students feel rested and more productive.,Annotator1,3-83,incohesive,,Batch3_Annotations.csv,
"We're in love with this organism, McKay said. ""It's the closest thing we have to Martians."" The scientists planned to load bits of the bacteria into a DNA sequencer. This sequencer will show them the order of four repeating nucleotides, or chemical ""letters,"" found in the bacteria. That order or sequence of ""letters"" makes up the bacteria's DNA.","The scientists plan to load bits of the bacteria into a DNA sequencer to show the order of four repeating nucleotides, or chemical ""letters,"" found in the bacteria.",Annotator1,3-84,incohesive,,Batch3_Annotations.csv,
Obama mentioned the pope's words. But he also spoke about his own personal story. He was once a young boy with a mother who struggled to make ends meet. Obama told a story about a child's chances in the United States. He talked about a child born into one of the poorest families in America.,Obama spoke about his own personal story of a young boy who struggled to make ends meet.,Annotator1,3-85,incohesive,,Batch3_Annotations.csv,
"Putin didn't care. Russia also captured a Lithuanian fishing ship. Russia claimed that it had sailed into Russian waters. Even more troubling, Russia asked Lithuania to send 1,500 people who used to be Soviet citizens to Russia. Supposedly, they hadn't joined the military when they were young men in the Soviet Union.","Russia captured a Lithuanian fishing ship, which Russia claimed had sailed into Russian waters.",Annotator1,3-86,incohesive,,Batch3_Annotations.csv,
"Cave paintings in Indonesia are much older than anyone thought. Archaeologists have discovered that the paintings date back 40,000 years. They were able to prove that art did not begin only in Europe. The paintings were first found in caves on Sulawesi in the 1950s. Sulawesi is an island in the Southwest Asian country of Indonesia.",Cave paintings in Indonesia are much older than anyone thought.,Annotator1,3-87,incohesive,,Batch3_Annotations.csv,
"A little more than a day after Michael Brown was killed, the peacemakers arrived. Brown was a black teenager without a weapon who was shot by a white police officer. He was killed in August in Ferguson, Missouri, near St. Louis. The shooting set off nearly nightly protests and violence. The black community felt that Brown wouldn't have been killed if he was white.","The peacemakers arrived at the scene of the shooting in August in Ferguson, Missouri, to discuss the situation.",Annotator1,3-88,incohesive,,Batch3_Annotations.csv,
They carry large backpacks. Their hot breath is not good for the paintings. Chinese and American scientists have been working together to protect the caves for more than 20 years. They made a long-term plan to protect these caves. The first step is to examine the caves closely.,The Chinese and American scientists have been working together to protect the caves for more than 20 years.,Annotator1,3-89,incohesive,,Batch3_Annotations.csv,
"And Apple did not do enough to make it clear that their children were buying gems, coins or treats. Parents also did not know that entering their password started a 15-minute clock. During this time, kids could buy things without having to enter the password again. Apple also agreed to change the way it bills customers. It will let people know when someone buys something on a game or app.","Apple made it clear that their children were buying gems, coins, and treats.",Annotator1,3-90,incohesive,,Batch3_Annotations.csv,
"Often, such instruments can only be repaired with hard-to-find materials from overseas. String instruments, like violins, violas and cellos, are tricky. They are some of the hardest instruments to keep in good working order. Before Cuba's 1959 revolution, many musicians played string instruments made in Europe. After the revolution, Cuba was cut off from doing business with many other countries.","String instruments are difficult to repair, as they are made in Europe, and Cuba was cut off from doing business with many other countries after the 1959 revolution.",Annotator1,3-91,incohesive,,Batch3_Annotations.csv,
"States will have to deal with that. The Asian-American newcomers also mean new voters in the South. Almost three times as many Asian-Americans voted in Virginia in 2012, compared with 2004. There are many reasons for the population shift. Many different groups of Asian-Americans are moving to the South.",The population shift is causing many Asian-Americans to move to the South.,Annotator1,3-92,incohesive,,Batch3_Annotations.csv,
"They only made $27 more than what the city spent to put them on the streets. The Pasadena meters did not cost the city money. They were designed by college students. They were paid for by money that companies gave to the city, Huang said. City leaders say the money collected by the meters might help in finding people homes.",The Pasadena meters were designed by college students and were paid for by companies.,Annotator1,3-93,incohesive,,Batch3_Annotations.csv,
"Ebola was too serious to trust people to quarantine themselves, said New York Governor Andrew M. Cuomo. Spencer worked in Africa with the aid group Doctors Without Borders. He called the group on Thursday to report that he had a fever. City officials said Spencer did not have signs of Ebola until Thursday morning. He was not contagious when he was out in the city earlier in the week.",Spencer was not contagious when he was out in the city earlier in the week.,Annotator1,3-94,incohesive,,Batch3_Annotations.csv,
"They will last the tortoise's whole life. A tortoise can live 160 years. ""It's heartbreaking that it's come to this. But it's the right thing to do,"" Gibbons said. He is in charge of the Turtle Conservancy in California.",The turtles will last the tortoise's entire life.,Annotator1,3-95,incohesive,,Batch3_Annotations.csv,
Marcie was also confused. The story she read said Florida needs more bees. Many bees have gotten sick. Some have died in bad weather. Other bees have been killed by accident.,Marcie was confused by the story she read about Florida's need for more bees.,Annotator1,3-96,incohesive,,Batch3_Annotations.csv,
Hunting is supposed to give the animals a chance. Pacelle is working with a group called Mainers for Fair Bear Hunting. They are leading the fight to change the hunting rules. On the other side is a group called Save Maine's Bear Hunt. It is fighting to keep the old ways of hunting.,Pacelle is working with Mainers for Fair Bear Hunting and Save Maine's Bear Hunt to fight to keep the old ways of hunting.,Annotator1,3-97,incohesive,,Batch3_Annotations.csv,
"This year, there are 46,885 nests. Anne Meylan is a scientist. ""We do not know why the numbers went down. And we do not know why they are coming back,"" she said. In the early 2000s, many turtles were being killed.","The number of nests in this year is 46,885.",Annotator1,3-98,incohesive,,Batch3_Annotations.csv,
"It is never too late to do the right thing, Obama said. Cushing fought for the North. He died at age 22 during the Battle of Gettysburg in Pennsylvania. Cushing was hit twice. However, he refused to leave his cannon.",Cushing's death was a reminder that it is never too late to do the right thing.,Annotator1,3-99,incohesive,,Batch3_Annotations.csv,
"The tropics do not have seasons like fall and spring. Year-round direct sunlight keeps the climate steadily warm. The study shows that the tropics have helped other parts of the world get a wider range of living creatures. An ecosystem includes all living and non-living things existing together in a certain place. For example, a desert is an ecosystem.",The tropics have helped other parts of the world get a wider range of living creatures.,Annotator1,3-100,incohesive,,Batch3_Annotations.csv,
"Finn came up with a different explanation: Students cannot hide in the back of the classroom in smaller classes. They behave better and are more involved. He saw the change himself visiting classrooms in Buffalo, New York. Smaller, quieter classes may have their biggest effect on kids who do not pay attention and try to avoid looking the teacher in the eye. That's because they cannot hide.",Finn noticed that students in smaller classes behave better and are more involved.,Annotator2,3-1,incohesive,,Batch3_Annotations.csv,
Advertising planes tow banners that tell people about events or products to buy. Disney had been trying to stop the ad planes for years. Michael P. Huerta is the leader of the FAA. Huerta told Congress that he would like to end the no-fly zones over Disney. Defenders of the no-fly zones say the Disney parks deserve special protection.,The FAA leader Michael P. Huerta has been trying to stop the ad planes for years.,Annotator2,3-2,incohesive,,Batch3_Annotations.csv,
"In the books, teens fight against the harsh leadership of the nation Panem. They hold up three fingers to protest against it. The books and the movies are very popular. Thailand was hit by protests in 2013. Some protesters said the government was dishonest and should go.","The books and movies are very popular, and the protests in Thailand were caused by protesters.",Annotator2,3-3,incohesive,,Batch3_Annotations.csv,
"People listen to her, said Pastor Henry Logan, who has been working with her since August. ""She does it one meal at a time."" Last Monday, violent protests broke out again in Ferguson. A grand jury decided not to charge the officer who shot Brown. A grand jury is made up of a group of people.","Pastor Henry Logan has been working with her since August, and she has been able to listen to her.",Annotator2,3-4,incohesive,,Batch3_Annotations.csv,
"He wrote some harsh things about California's Native Americans. He said they had no place in the Sierra wilderness. Laura Pulido is a professor at USC. ""He was a man of his times,"" she said. Many people in his time had prejudices.","He wrote harsh things about California's Native Americans, which he said had no place in the Sierra wilderness.",Annotator2,3-5,incohesive,,Batch3_Annotations.csv,
He and his team named her Lucy after a song by the Beatles. The song played over and over the night her bones were found. Johanson is now the head of the Institute of Human Origins at Arizona State University. He spoke about how Lucy's discovery changed what scientists thought about early humans. He also discussed what he hopes to find next.,The discovery of Lucy changed the way scientists thought about early humans.,Annotator2,3-6,incohesive,,Batch3_Annotations.csv,
"About 1,177 of those were on a battleship that was sunk in the attack. Nine of the survivors of the battleship attack are alive. Four of them came together again in Hawaii. Every year on the day of the attack, the men gather in Pearl Harbor. They come to mark the event.",The men of Pearl Harbor gather every year to commemorate the attack.,Annotator2,3-7,incohesive,,Batch3_Annotations.csv,
"Russian reporters asked if she was taking makeup with her to space. They also asked how she would wear her hair. Serova ignored the makeup question. As for her hair, she said: ""Why don't you ask the question about Alexander's hair?"" Crewmate Alexander Samokutyaev was seated next to her.",Serova ignored the makeup question and instead asked Alexander Samokutyaev why he didn't ask the question about Alexander's hair.,Annotator2,3-8,incohesive,,Batch3_Annotations.csv,
"One official said that people agreed to leave and were given plenty of time. She said many were moved to new housing. Others got money from the city to leave their homes, she added. However, many deny those claims. They say the people of Favela do Metro were given very little time to leave.","The people of Favela do Metro were given plenty of time to leave their homes, but many denied that they were given too little time to leave.",Annotator2,3-9,incohesive,,Batch3_Annotations.csv,
"Many ag-tech companies are creating technology to make farming easier. They have built robots to cut lettuce. They have made computer software that can figure out how much grass to grow for cows to eat. Others companies are using technology to make products that taste like meat, cheese and eggs. Yet they are made from plants.","Ag-tech companies are creating technology to make farming easier. Robots can cut lettuce, computer software can figure out how much grass to grow for cows, and products that taste like meat, cheese, and eggs are made from plants.",Annotator2,3-10,incohesive,,Batch3_Annotations.csv,
"Gross, who is 65 years old, has already been sent home. Cuba and the United States spoke secretly for a year about freeing him. Gross' family in Maryland said he is in bad health. He is weak and can barely walk. In Cuba, he had refused medical care, food and visits from American officials.","Gross has been sent home, but his family in Maryland said he is in bad health and can barely walk.",Annotator2,3-11,incohesive,,Batch3_Annotations.csv,
"Ma is one of China's best known environmental experts. He helped make the app. Ma said the problem is that the government does not force companies to follow the law. In China, there is no democracy. The government is not elected by the people.","Ma helped make the app, which is a popular app in China.",Annotator2,3-12,cohesive,Level_1,Batch3_Annotations.csv,
